numero_factura,fecha_emision,cliente,cuit_cliente,detalle,total
0004-00006916,01/04/2026,SINCLAIR 3056,30717300137,FUMIGACIÓN INTEGRAL ALACRANES - SERVICIO MARZO 2026,60000.00
0004-00006917,01/04/2026,O'HIGGINS 1357,33581179699,FUMIGACIÓN INTEGRAL - ABONO MARZO,135000.00
0004-00006919,06/04/2026,CUCHA CUCHA 1752/54,30717051242,FUMIGACIÓN INTEGRAL - ABONO MARZO,126000.00
0004-00006920,06/04/2026,ARENALES 2264,30539675210,FUMIGACIÓN INTEGRAL - ABONO ABRIL,122000.00
0004-00006921,06/04/2026,JUNIN 1443,30521100490,FUMIGACIÓN INTEGRAL - ABONO ABRIL,76000.00
0004-00006923,06/04/2026,MORENO 750 756 762 - ROCA 751,30612870248,FUMIGACIÓN INTEGRAL - ABONO ABRIL,330000.00
0004-00006924,06/04/2026,SUIPACHA 1221,30550852256,FUMIGACIÓN INTEGRAL - ABONO ABRIL,142000.00
0004-00006925,06/04/2026,LARREA 1441,30597330762,FUMIGACIÓN INTEGRAL - ABONO ABRIL,87000.00
0004-00006926,06/04/2026,BARRIENTOS 1516,33544171009,FUMIGACIÓN INTEGRAL - ABONO ABRIL,106000.00
0004-00006927,06/04/2026,PUEYRREDON 1993,30544122289,FUMIGACIÓN INTEGRAL - ABONO ABRIL,170000.00
0004-00006929,06/04/2026,ALVEAR 1535,30554204208,FUMIGACIÓN INTEGRAL - ABONO ABRIL,385000.00
0004-00006930,06/04/2026,ALVEAR 1929,30628581556,FUMIGACIÓN INTEGRAL - ABONO ABRIL,122000.00
0004-00006931,06/04/2026,ADOLFO BIOY CASARES 2029,30535588844,FUMIGACIÓN INTEGRAL - ABONO ABRIL,121000.00
